Age_Range,Ethnicity,F,M,MSOA,Year
40-44,BLC,7.0,9.0,E02000867,2016
45-49,BLC,12.0,7.0,E02000867,2016
5-9,BLC,8.0,6.0,E02000867,2016
50-54,BLC,16.0,14.0,E02000867,2016
55-59,BLC,6.0,6.0,E02000867,2016
60-64,BLC,15.0,4.0,E02000867,2016
65-69,BLC,4.0,3.0,E02000867,2016
70-74,BLC,6.0,,E02000867,2016
75-79,BLC,2.0,5.0,E02000867,2016
80-84,BLC,5.0,1.0,E02000867,2016
85+,BLC,4.0,2.0,E02000867,2016
0-4,CHI,11.0,16.0,E02000867,2016
10-14,CHI,2.0,3.0,E02000867,2016
15-19,CHI,,2.0,E02000867,2016
20-24,CHI,2.0,2.0,E02000867,2016
25-29,CHI,31.0,17.0,E02000867,2016
30-34,CHI,37.0,31.0,E02000867,2016
35-39,CHI,22.0,29.0,E02000867,2016
40-44,CHI,8.0,10.0,E02000867,2016
45-49,CHI,2.0,8.0,E02000867,2016
5-9,CHI,4.0,7.0,E02000867,2016
50-54,CHI,4.0,,E02000867,2016
55-59,CHI,,2.0,E02000867,2016
60-64,CHI,3.0,1.0,E02000867,2016
65-69,CHI,1.0,2.0,E02000867,2016
70-74,CHI,1.0,,E02000867,2016
85+,CHI,,1.0,E02000867,2016
0-4,IND,23.0,26.0,E02000867,2016
10-14,IND,2.0,,E02000867,2016
15-19,IND,3.0,1.0,E02000867,2016
20-24,IND,9.0,4.0,E02000867,2016
25-29,IND,36.0,22.0,E02000867,2016
30-34,IND,36.0,41.0,E02000867,2016
35-39,IND,14.0,25.0,E02000867,2016
40-44,IND,11.0,9.0,E02000867,2016
45-49,IND,6.0,6.0,E02000867,2016
5-9,IND,5.0,3.0,E02000867,2016
50-54,IND,2.0,4.0,E02000867,2016
55-59,IND,2.0,4.0,E02000867,2016
60-64,IND,2.0,,E02000867,2016
65-69,IND,1.0,,E02000867,2016
70-74,IND,2.0,1.0,E02000867,2016
75-79,IND,,2.0,E02000867,2016
80-84,IND,1.0,,E02000867,2016
0-4,MIX,26.0,17.0,E02000867,2016
10-14,MIX,28.0,29.0,E02000867,2016
15-19,MIX,32.0,14.0,E02000867,2016
20-24,MIX,15.0,18.0,E02000867,2016
25-29,MIX,37.0,32.0,E02000867,2016
30-34,MIX,63.0,46.0,E02000867,2016
35-39,MIX,31.0,32.0,E02000867,2016
40-44,MIX,12.0,12.0,E02000867,2016
45-49,MIX,14.0,11.0,E02000867,2016
5-9,MIX,49.0,43.0,E02000867,2016
50-54,MIX,5.0,9.0,E02000867,2016
55-59,MIX,3.0,4.0,E02000867,2016
60-64,MIX,3.0,4.0,E02000867,2016
65-69,MIX,1.0,,E02000867,2016
70-74,MIX,1.0,1.0,E02000867,2016
75-79,MIX,1.0,2.0,E02000867,2016
85+,MIX,3.0,,E02000867,2016
0-4,OAS,14.0,16.0,E02000867,2016
10-14,OAS,5.0,3.0,E02000867,2016
15-19,OAS,10.0,4.0,E02000867,2016
20-24,OAS,2.0,4.0,E02000867,2016
25-29,OAS,11.0,7.0,E02000867,2016
30-34,OAS,20.0,8.0,E02000867,2016
35-39,OAS,31.0,14.0,E02000867,2016
40-44,OAS,18.0,2.0,E02000867,2016
45-49,OAS,6.0,5.0,E02000867,2016
5-9,OAS,5.0,10.0,E02000867,2016
50-54,OAS,3.0,2.0,E02000867,2016
55-59,OAS,2.0,,E02000867,2016
60-64,OAS,,1.0,E02000867,2016
65-69,OAS,2.0,,E02000867,2016
70-74,OAS,1.0,1.0,E02000867,2016
0-4,OBL,5.0,5.0,E02000867,2016
10-14,OBL,7.0,8.0,E02000867,2016
15-19,OBL,11.0,4.0,E02000867,2016
20-24,OBL,2.0,4.0,E02000867,2016
25-29,OBL,4.0,6.0,E02000867,2016
30-34,OBL,15.0,3.0,E02000867,2016
35-39,OBL,6.0,5.0,E02000867,2016
40-44,OBL,4.0,2.0,E02000867,2016
45-49,OBL,3.0,5.0,E02000867,2016
5-9,OBL,7.0,11.0,E02000867,2016
50-54,OBL,6.0,4.0,E02000867,2016
55-59,OBL,3.0,,E02000867,2016
60-64,OBL,1.0,3.0,E02000867,2016
70-74,OBL,2.0,1.0,E02000867,2016
85+,OBL,,2.0,E02000867,2016
0-4,OTH,12.0,8.0,E02000867,2016
10-14,OTH,8.0,7.0,E02000867,2016
15-19,OTH,5.0,4.0,E02000867,2016
20-24,OTH,6.0,8.0,E02000867,2016
25-29,OTH,16.0,12.0,E02000867,2016
30-34,OTH,14.0,20.0,E02000867,2016
35-39,OTH,20.0,12.0,E02000867,2016
40-44,OTH,10.0,18.0,E02000867,2016
45-49,OTH,3.0,2.0,E02000867,2016
5-9,OTH,5.0,10.0,E02000867,2016
50-54,OTH,5.0,10.0,E02000867,2016
55-59,OTH,2.0,3.0,E02000867,2016
60-64,OTH,,2.0,E02000867,2016
65-69,OTH,1.0,1.0,E02000867,2016
70-74,OTH,2.0,2.0,E02000867,2016
75-79,OTH,4.0,,E02000867,2016
80-84,OTH,1.0,,E02000867,2016
85+,OTH,1.0,1.0,E02000867,2016
0-4,PAK,6.0,9.0,E02000867,2016
10-14,PAK,1.0,,E02000867,2016
15-19,PAK,,1.0,E02000867,2016
20-24,PAK,3.0,2.0,E02000867,2016
25-29,PAK,10.0,4.0,E02000867,2016
30-34,PAK,10.0,11.0,E02000867,2016
35-39,PAK,4.0,8.0,E02000867,2016
40-44,PAK,2.0,2.0,E02000867,2016
45-49,PAK,1.0,1.0,E02000867,2016
5-9,PAK,3.0,5.0,E02000867,2016
50-54,PAK,1.0,,E02000867,2016
60-64,PAK,2.0,2.0,E02000867,2016
65-69,PAK,,1.0,E02000867,2016
0-4,WBI,239.0,222.0,E02000867,2016
10-14,WBI,44.0,56.0,E02000867,2016
15-19,WBI,53.0,56.0,E02000867,2016
20-24,WBI,61.0,55.0,E02000867,2016
25-29,WBI,373.0,340.0,E02000867,2016
30-34,WBI,469.0,519.0,E02000867,2016
35-39,WBI,273.0,372.0,E02000867,2016
40-44,WBI,136.0,213.0,E02000867,2016
45-49,WBI,113.0,149.0,E02000867,2016
5-9,WBI,76.0,91.0,E02000867,2016
50-54,WBI,109.0,133.0,E02000867,2016
55-59,WBI,96.0,103.0,E02000867,2016
60-64,WBI,98.0,75.0,E02000867,2016
65-69,WBI,52.0,63.0,E02000867,2016
70-74,WBI,53.0,36.0,E02000867,2016
75-79,WBI,34.0,27.0,E02000867,2016
80-84,WBI,44.0,30.0,E02000867,2016
85+,WBI,43.0,30.0,E02000867,2016
0-4,WHO,79.0,78.0,E02000867,2016
10-14,WHO,8.0,4.0,E02000867,2016
15-19,WHO,8.0,6.0,E02000867,2016
20-24,WHO,4.0,7.0,E02000867,2016
25-29,WHO,78.0,59.0,E02000867,2016
30-34,WHO,190.0,153.0,E02000867,2016
35-39,WHO,115.0,119.0,E02000867,2016
40-44,WHO,57.0,73.0,E02000867,2016
45-49,WHO,24.0,47.0,E02000867,2016
5-9,WHO,10.0,10.0,E02000867,2016
50-54,WHO,15.0,24.0,E02000867,2016
55-59,WHO,12.0,11.0,E02000867,2016
60-64,WHO,6.0,4.0,E02000867,2016
65-69,WHO,7.0,3.0,E02000867,2016
70-74,WHO,8.0,2.0,E02000867,2016
75-79,WHO,4.0,2.0,E02000867,2016
80-84,WHO,1.0,1.0,E02000867,2016
85+,WHO,3.0,,E02000867,2016
0-4,BAN,126.0,135.0,E02000868,2016
10-14,BAN,111.0,118.0,E02000868,2016
15-19,BAN,107.0,103.0,E02000868,2016
20-24,BAN,75.0,113.0,E02000868,2016
25-29,BAN,96.0,97.0,E02000868,2016
30-34,BAN,103.0,76.0,E02000868,2016
35-39,BAN,90.0,75.0,E02000868,2016
40-44,BAN,74.0,76.0,E02000868,2016
45-49,BAN,48.0,66.0,E02000868,2016
5-9,BAN,96.0,82.0,E02000868,2016
50-54,BAN,27.0,38.0,E02000868,2016
55-59,BAN,25.0,48.0,E02000868,2016
60-64,BAN,15.0,13.0,E02000868,2016
65-69,BAN,22.0,2.0,E02000868,2016
70-74,BAN,12.0,6.0,E02000868,2016
75-79,BAN,20.0,11.0,E02000868,2016
80-84,BAN,7.0,3.0,E02000868,2016
85+,BAN,,7.0,E02000868,2016
0-4,BLA,11.0,8.0,E02000868,2016
10-14,BLA,9.0,5.0,E02000868,2016
15-19,BLA,4.0,6.0,E02000868,2016
20-24,BLA,6.0,12.0,E02000868,2016
25-29,BLA,7.0,5.0,E02000868,2016
30-34,BLA,9.0,2.0,E02000868,2016
35-39,BLA,12.0,6.0,E02000868,2016
40-44,BLA,8.0,12.0,E02000868,2016
45-49,BLA,9.0,3.0,E02000868,2016
5-9,BLA,8.0,6.0,E02000868,2016
50-54,BLA,5.0,12.0,E02000868,2016
55-59,BLA,3.0,9.0,E02000868,2016
60-64,BLA,4.0,1.0,E02000868,2016
65-69,BLA,1.0,3.0,E02000868,2016
70-74,BLA,1.0,,E02000868,2016
75-79,BLA,2.0,3.0,E02000868,2016
80-84,BLA,3.0,,E02000868,2016
85+,BLA,4.0,,E02000868,2016
0-4,BLC,1.0,2.0,E02000868,2016
10-14,BLC,,3.0,E02000868,2016
15-19,BLC,,5.0,E02000868,2016
20-24,BLC,3.0,4.0,E02000868,2016
25-29,BLC,3.0,7.0,E02000868,2016
30-34,BLC,,5.0,E02000868,2016
35-39,BLC,2.0,4.0,E02000868,2016
40-44,BLC,3.0,1.0,E02000868,2016
45-49,BLC,4.0,7.0,E02000868,2016
5-9,BLC,,2.0,E02000868,2016
50-54,BLC,6.0,3.0,E02000868,2016
55-59,BLC,4.0,,E02000868,2016
60-64,BLC,3.0,2.0,E02000868,2016
65-69,BLC,2.0,1.0,E02000868,2016
75-79,BLC,6.0,,E02000868,2016
80-84,BLC,,1.0,E02000868,2016
85+,BLC,3.0,2.0,E02000868,2016
0-4,CHI,3.0,4.0,E02000868,2016
10-14,CHI,2.0,,E02000868,2016
15-19,CHI,,1.0,E02000868,2016
20-24,CHI,2.0,2.0,E02000868,2016
25-29,CHI,4.0,15.0,E02000868,2016
30-34,CHI,11.0,2.0,E02000868,2016
35-39,CHI,6.0,4.0,E02000868,2016
40-44,CHI,4.0,2.0,E02000868,2016
45-49,CHI,6.0,5.0,E02000868,2016
5-9,CHI,1.0,,E02000868,2016
50-54,CHI,3.0,2.0,E02000868,2016
55-59,CHI,1.0,,E02000868,2016
60-64,CHI,,1.0,E02000868,2016
0-4,IND,4.0,4.0,E02000868,2016
10-14,IND,1.0,1.0,E02000868,2016
15-19,IND,,1.0,E02000868,2016
20-24,IND,2.0,1.0,E02000868,2016
25-29,IND,4.0,8.0,E02000868,2016
30-34,IND,6.0,8.0,E02000868,2016
35-39,IND,7.0,11.0,E02000868,2016
40-44,IND,1.0,5.0,E02000868,2016
45-49,IND,1.0,1.0,E02000868,2016
50-54,IND,2.0,4.0,E02000868,2016
55-59,IND,3.0,,E02000868,2016
60-64,IND,1.0,1.0,E02000868,2016
80-84,IND,1.0,1.0,E02000868,2016
0-4,MIX,16.0,10.0,E02000868,2016
10-14,MIX,15.0,8.0,E02000868,2016
15-19,MIX,7.0,3.0,E02000868,2016
20-24,MIX,6.0,27.0,E02000868,2016
25-29,MIX,40.0,14.0,E02000868,2016
30-34,MIX,29.0,26.0,E02000868,2016
35-39,MIX,20.0,23.0,E02000868,2016
40-44,MIX,5.0,8.0,E02000868,2016
45-49,MIX,6.0,4.0,E02000868,2016
5-9,MIX,13.0,24.0,E02000868,2016
50-54,MIX,2.0,4.0,E02000868,2016
55-59,MIX,5.0,3.0,E02000868,2016
60-64,MIX,4.0,1.0,E02000868,2016
70-74,MIX,,2.0,E02000868,2016
75-79,MIX,1.0,1.0,E02000868,2016
85+,MIX,1.0,,E02000868,2016
0-4,OAS,9.0,2.0,E02000868,2016
10-14,OAS,1.0,1.0,E02000868,2016
20-24,OAS,4.0,3.0,E02000868,2016
25-29,OAS,3.0,15.0,E02000868,2016
30-34,OAS,12.0,7.0,E02000868,2016
35-39,OAS,6.0,13.0,E02000868,2016
40-44,OAS,4.0,3.0,E02000868,2016
45-49,OAS,1.0,4.0,E02000868,2016
5-9,OAS,,2.0,E02000868,2016
50-54,OAS,4.0,1.0,E02000868,2016
55-59,OAS,2.0,,E02000868,2016
60-64,OAS,,1.0,E02000868,2016
70-74,OAS,1.0,,E02000868,2016
0-4,OBL,4.0,3.0,E02000868,2016
10-14,OBL,4.0,6.0,E02000868,2016
15-19,OBL,3.0,7.0,E02000868,2016
20-24,OBL,4.0,1.0,E02000868,2016
25-29,OBL,4.0,5.0,E02000868,2016
30-34,OBL,6.0,9.0,E02000868,2016
35-39,OBL,2.0,,E02000868,2016
40-44,OBL,4.0,,E02000868,2016
45-49,OBL,5.0,3.0,E02000868,2016
5-9,OBL,5.0,5.0,E02000868,2016
50-54,OBL,1.0,,E02000868,2016
55-59,OBL,,2.0,E02000868,2016
60-64,OBL,2.0,,E02000868,2016
65-69,OBL,1.0,,E02000868,2016
70-74,OBL,,1.0,E02000868,2016
75-79,OBL,1.0,1.0,E02000868,2016
80-84,OBL,1.0,,E02000868,2016
85+,OBL,,2.0,E02000868,2016
0-4,OTH,9.0,9.0,E02000868,2016
10-14,OTH,3.0,4.0,E02000868,2016
15-19,OTH,2.0,1.0,E02000868,2016
20-24,OTH,2.0,2.0,E02000868,2016
25-29,OTH,12.0,28.0,E02000868,2016
30-34,OTH,22.0,29.0,E02000868,2016
35-39,OTH,10.0,10.0,E02000868,2016
40-44,OTH,2.0,5.0,E02000868,2016
45-49,OTH,4.0,8.0,E02000868,2016
5-9,OTH,2.0,5.0,E02000868,2016
50-54,OTH,4.0,4.0,E02000868,2016
55-59,OTH,3.0,2.0,E02000868,2016
60-64,OTH,4.0,2.0,E02000868,2016
65-69,OTH,,1.0,E02000868,2016
70-74,OTH,,1.0,E02000868,2016
75-79,OTH,1.0,1.0,E02000868,2016
85+,OTH,2.0,,E02000868,2016
0-4,PAK,3.0,6.0,E02000868,2016
10-14,PAK,3.0,2.0,E02000868,2016
15-19,PAK,1.0,2.0,E02000868,2016
20-24,PAK,2.0,1.0,E02000868,2016
25-29,PAK,13.0,7.0,E02000868,2016
30-34,PAK,2.0,2.0,E02000868,2016
35-39,PAK,1.0,1.0,E02000868,2016
40-44,PAK,4.0,1.0,E02000868,2016
45-49,PAK,3.0,,E02000868,2016
5-9,PAK,2.0,2.0,E02000868,2016
50-54,PAK,1.0,3.0,E02000868,2016
0-4,WBI,146.0,138.0,E02000868,2016
10-14,WBI,27.0,13.0,E02000868,2016
15-19,WBI,18.0,17.0,E02000868,2016
20-24,WBI,50.0,27.0,E02000868,2016
25-29,WBI,205.0,162.0,E02000868,2016
30-34,WBI,282.0,305.0,E02000868,2016
35-39,WBI,180.0,229.0,E02000868,2016
40-44,WBI,89.0,136.0,E02000868,2016
45-49,WBI,55.0,84.0,E02000868,2016
5-9,WBI,25.0,35.0,E02000868,2016
50-54,WBI,42.0,61.0,E02000868,2016
55-59,WBI,45.0,76.0,E02000868,2016
60-64,WBI,53.0,44.0,E02000868,2016
65-69,WBI,44.0,54.0,E02000868,2016
70-74,WBI,35.0,29.0,E02000868,2016
75-79,WBI,24.0,12.0,E02000868,2016
80-84,WBI,26.0,18.0,E02000868,2016
85+,WBI,57.0,25.0,E02000868,2016
0-4,WHO,84.0,64.0,E02000868,2016
10-14,WHO,2.0,3.0,E02000868,2016
15-19,WHO,6.0,3.0,E02000868,2016
20-24,WHO,8.0,9.0,E02000868,2016
25-29,WHO,82.0,57.0,E02000868,2016
30-34,WHO,157.0,120.0,E02000868,2016
35-39,WHO,114.0,106.0,E02000868,2016
40-44,WHO,58.0,68.0,E02000868,2016
45-49,WHO,25.0,29.0,E02000868,2016
5-9,WHO,10.0,14.0,E02000868,2016
50-54,WHO,8.0,11.0,E02000868,2016
55-59,WHO,7.0,6.0,E02000868,2016
60-64,WHO,7.0,5.0,E02000868,2016
65-69,WHO,4.0,5.0,E02000868,2016
70-74,WHO,1.0,3.0,E02000868,2016
75-79,WHO,1.0,2.0,E02000868,2016
80-84,WHO,3.0,2.0,E02000868,2016
85+,WHO,3.0,1.0,E02000868,2016
0-4,BAN,91.0,106.0,E02000869,2016
10-14,BAN,74.0,96.0,E02000869,2016
15-19,BAN,72.0,82.0,E02000869,2016
20-24,BAN,64.0,55.0,E02000869,2016
25-29,BAN,76.0,65.0,E02000869,2016
30-34,BAN,78.0,62.0,E02000869,2016
35-39,BAN,69.0,61.0,E02000869,2016
40-44,BAN,60.0,59.0,E02000869,2016
45-49,BAN,19.0,57.0,E02000869,2016
5-9,BAN,72.0,78.0,E02000869,2016
50-54,BAN,21.0,18.0,E02000869,2016
55-59,BAN,13.0,28.0,E02000869,2016
60-64,BAN,15.0,6.0,E02000869,2016
65-69,BAN,12.0,3.0,E02000869,2016
70-74,BAN,12.0,10.0,E02000869,2016
75-79,BAN,12.0,15.0,E02000869,2016
80-84,BAN,5.0,6.0,E02000869,2016
85+,BAN,2.0,4.0,E02000869,2016
0-4,BLA,23.0,13.0,E02000869,2016
10-14,BLA,10.0,3.0,E02000869,2016
15-19,BLA,7.0,8.0,E02000869,2016
20-24,BLA,8.0,13.0,E02000869,2016
25-29,BLA,14.0,8.0,E02000869,2016
30-34,BLA,15.0,15.0,E02000869,2016
35-39,BLA,16.0,7.0,E02000869,2016
40-44,BLA,15.0,8.0,E02000869,2016
45-49,BLA,10.0,7.0,E02000869,2016
5-9,BLA,10.0,14.0,E02000869,2016
50-54,BLA,8.0,9.0,E02000869,2016
55-59,BLA,3.0,11.0,E02000869,2016
60-64,BLA,6.0,2.0,E02000869,2016
65-69,BLA,8.0,4.0,E02000869,2016
70-74,BLA,,1.0,E02000869,2016
75-79,BLA,3.0,2.0,E02000869,2016
85+,BLA,2.0,,E02000869,2016
0-4,BLC,2.0,2.0,E02000869,2016
10-14,BLC,6.0,1.0,E02000869,2016
15-19,BLC,2.0,2.0,E02000869,2016
20-24,BLC,,1.0,E02000869,2016
25-29,BLC,2.0,4.0,E02000869,2016
30-34,BLC,5.0,3.0,E02000869,2016
35-39,BLC,7.0,5.0,E02000869,2016
40-44,BLC,3.0,6.0,E02000869,2016
45-49,BLC,4.0,7.0,E02000869,2016
5-9,BLC,,1.0,E02000869,2016
50-54,BLC,8.0,7.0,E02000869,2016
55-59,BLC,4.0,4.0,E02000869,2016
60-64,BLC,3.0,5.0,E02000869,2016
65-69,BLC,,1.0,E02000869,2016
75-79,BLC,3.0,3.0,E02000869,2016
80-84,BLC,2.0,3.0,E02000869,2016
85+,BLC,1.0,1.0,E02000869,2016
0-4,CHI,3.0,5.0,E02000869,2016
20-24,CHI,1.0,,E02000869,2016
25-29,CHI,5.0,4.0,E02000869,2016
30-34,CHI,10.0,2.0,E02000869,2016
35-39,CHI,6.0,12.0,E02000869,2016
40-44,CHI,3.0,3.0,E02000869,2016
45-49,CHI,3.0,3.0,E02000869,2016
5-9,CHI,4.0,1.0,E02000869,2016
50-54,CHI,1.0,1.0,E02000869,2016
55-59,CHI,3.0,,E02000869,2016
65-69,CHI,,2.0,E02000869,2016
75-79,CHI,3.0,2.0,E02000869,2016
80-84,CHI,,1.0,E02000869,2016
85+,CHI,1.0,,E02000869,2016
0-4,IND,3.0,4.0,E02000869,2016
15-19,IND,2.0,2.0,E02000869,2016
25-29,IND,4.0,3.0,E02000869,2016
30-34,IND,6.0,9.0,E02000869,2016
35-39,IND,2.0,5.0,E02000869,2016
40-44,IND,2.0,5.0,E02000869,2016
45-49,IND,1.0,2.0,E02000869,2016
5-9,IND,1.0,1.0,E02000869,2016
50-54,IND,1.0,2.0,E02000869,2016
60-64,IND,2.0,,E02000869,2016
65-69,IND,1.0,,E02000869,2016
75-79,IND,1.0,2.0,E02000869,2016
80-84,IND,,1.0,E02000869,2016
0-4,MIX,21.0,15.0,E02000869,2016
10-14,MIX,7.0,10.0,E02000869,2016
15-19,MIX,8.0,16.0,E02000869,2016
20-24,MIX,4.0,26.0,E02000869,2016
25-29,MIX,37.0,5.0,E02000869,2016
30-34,MIX,22.0,10.0,E02000869,2016
35-39,MIX,9.0,11.0,E02000869,2016
40-44,MIX,12.0,8.0,E02000869,2016
45-49,MIX,5.0,20.0,E02000869,2016
5-9,MIX,20.0,16.0,E02000869,2016
50-54,MIX,8.0,9.0,E02000869,2016
55-59,MIX,2.0,5.0,E02000869,2016
60-64,MIX,3.0,2.0,E02000869,2016
65-69,MIX,1.0,2.0,E02000869,2016
75-79,MIX,2.0,,E02000869,2016
0-4,OAS,1.0,1.0,E02000869,2016
10-14,OAS,1.0,2.0,E02000869,2016
15-19,OAS,,1.0,E02000869,2016
20-24,OAS,1.0,1.0,E02000869,2016
25-29,OAS,7.0,8.0,E02000869,2016
30-34,OAS,4.0,6.0,E02000869,2016
35-39,OAS,9.0,7.0,E02000869,2016
40-44,OAS,6.0,4.0,E02000869,2016
45-49,OAS,6.0,4.0,E02000869,2016
50-54,OAS,3.0,,E02000869,2016
55-59,OAS,1.0,2.0,E02000869,2016
60-64,OAS,2.0,1.0,E02000869,2016
70-74,OAS,1.0,1.0,E02000869,2016
75-79,OAS,1.0,1.0,E02000869,2016
0-4,OBL,,1.0,E02000869,2016
10-14,OBL,5.0,3.0,E02000869,2016
15-19,OBL,3.0,4.0,E02000869,2016
20-24,OBL,1.0,3.0,E02000869,2016
25-29,OBL,,3.0,E02000869,2016
30-34,OBL,8.0,,E02000869,2016
35-39,OBL,4.0,2.0,E02000869,2016
40-44,OBL,1.0,,E02000869,2016
45-49,OBL,8.0,6.0,E02000869,2016
5-9,OBL,9.0,14.0,E02000869,2016
50-54,OBL,3.0,3.0,E02000869,2016
65-69,OBL,2.0,,E02000869,2016
70-74,OBL,2.0,,E02000869,2016
80-84,OBL,,1.0,E02000869,2016
0-4,OTH,5.0,1.0,E02000869,2016
10-14,OTH,3.0,2.0,E02000869,2016
15-19,OTH,2.0,2.0,E02000869,2016
20-24,OTH,,2.0,E02000869,2016
25-29,OTH,2.0,19.0,E02000869,2016
30-34,OTH,11.0,5.0,E02000869,2016
35-39,OTH,7.0,18.0,E02000869,2016
40-44,OTH,9.0,5.0,E02000869,2016
45-49,OTH,3.0,2.0,E02000869,2016
5-9,OTH,2.0,2.0,E02000869,2016
50-54,OTH,2.0,10.0,E02000869,2016
55-59,OTH,5.0,,E02000869,2016
60-64,OTH,4.0,3.0,E02000869,2016
65-69,OTH,1.0,1.0,E02000869,2016
75-79,OTH,1.0,1.0,E02000869,2016
0-4,PAK,,2.0,E02000869,2016
10-14,PAK,1.0,,E02000869,2016
25-29,PAK,1.0,4.0,E02000869,2016
30-34,PAK,2.0,3.0,E02000869,2016
35-39,PAK,1.0,,E02000869,2016
5-9,PAK,,1.0,E02000869,2016
50-54,PAK,,2.0,E02000869,2016
55-59,PAK,2.0,,E02000869,2016
60-64,PAK,1.0,3.0,E02000869,2016
65-69,PAK,,1.0,E02000869,2016
70-74,PAK,,3.0,E02000869,2016
0-4,WBI,98.0,109.0,E02000869,2016
10-14,WBI,24.0,33.0,E02000869,2016
15-19,WBI,21.0,29.0,E02000869,2016
20-24,WBI,19.0,25.0,E02000869,2016
25-29,WBI,129.0,97.0,E02000869,2016
30-34,WBI,182.0,184.0,E02000869,2016
35-39,WBI,127.0,164.0,E02000869,2016
40-44,WBI,70.0,141.0,E02000869,2016
45-49,WBI,73.0,111.0,E02000869,2016
5-9,WBI,45.0,39.0,E02000869,2016
50-54,WBI,68.0,101.0,E02000869,2016
55-59,WBI,67.0,78.0,E02000869,2016
60-64,WBI,48.0,60.0,E02000869,2016
65-69,WBI,52.0,62.0,E02000869,2016
70-74,WBI,30.0,36.0,E02000869,2016
75-79,WBI,35.0,29.0,E02000869,2016
80-84,WBI,42.0,26.0,E02000869,2016
85+,WBI,52.0,29.0,E02000869,2016
0-4,WHO,56.0,54.0,E02000869,2016
10-14,WHO,5.0,2.0,E02000869,2016
15-19,WHO,4.0,3.0,E02000869,2016
20-24,WHO,6.0,10.0,E02000869,2016
25-29,WHO,52.0,43.0,E02000869,2016
30-34,WHO,112.0,104.0,E02000869,2016
35-39,WHO,65.0,86.0,E02000869,2016
40-44,WHO,54.0,61.0,E02000869,2016
45-49,WHO,22.0,39.0,E02000869,2016
5-9,WHO,11.0,8.0,E02000869,2016
50-54,WHO,15.0,16.0,E02000869,2016
55-59,WHO,8.0,10.0,E02000869,2016
60-64,WHO,10.0,9.0,E02000869,2016
65-69,WHO,4.0,5.0,E02000869,2016
70-74,WHO,4.0,4.0,E02000869,2016
75-79,WHO,1.0,1.0,E02000869,2016
80-84,WHO,2.0,1.0,E02000869,2016
85+,WHO,3.0,,E02000869,2016
0-4,BAN,110.0,117.0,E02000870,2016
10-14,BAN,121.0,137.0,E02000870,2016
15-19,BAN,113.0,104.0,E02000870,2016
20-24,BAN,79.0,93.0,E02000870,2016
25-29,BAN,81.0,90.0,E02000870,2016
30-34,BAN,97.0,49.0,E02000870,2016
35-39,BAN,89.0,90.0,E02000870,2016
40-44,BAN,71.0,75.0,E02000870,2016
45-49,BAN,53.0,68.0,E02000870,2016
5-9,BAN,75.0,129.0,E02000870,2016
50-54,BAN,20.0,21.0,E02000870,2016
55-59,BAN,16.0,30.0,E02000870,2016
60-64,BAN,16.0,10.0,E02000870,2016
65-69,BAN,13.0,1.0,E02000870,2016
70-74,BAN,4.0,4.0,E02000870,2016
75-79,BAN,8.0,11.0,E02000870,2016
80-84,BAN,3.0,8.0,E02000870,2016
85+,BAN,2.0,4.0,E02000870,2016
0-4,BLA,12.0,11.0,E02000870,2016
10-14,BLA,11.0,14.0,E02000870,2016
15-19,BLA,5.0,7.0,E02000870,2016
20-24,BLA,6.0,7.0,E02000870,2016
25-29,BLA,6.0,7.0,E02000870,2016
30-34,BLA,12.0,8.0,E02000870,2016
35-39,BLA,14.0,5.0,E02000870,2016
40-44,BLA,14.0,10.0,E02000870,2016
45-49,BLA,6.0,6.0,E02000870,2016
5-9,BLA,12.0,8.0,E02000870,2016
50-54,BLA,10.0,4.0,E02000870,2016
55-59,BLA,7.0,6.0,E02000870,2016
60-64,BLA,2.0,2.0,E02000870,2016
75-79,BLA,2.0,1.0,E02000870,2016
80-84,BLA,1.0,,E02000870,2016
85+,BLA,2.0,1.0,E02000870,2016
0-4,BLC,2.0,5.0,E02000870,2016
10-14,BLC,1.0,1.0,E02000870,2016
15-19,BLC,2.0,,E02000870,2016
20-24,BLC,4.0,4.0,E02000870,2016
25-29,BLC,7.0,1.0,E02000870,2016
30-34,BLC,2.0,6.0,E02000870,2016
35-39,BLC,3.0,2.0,E02000870,2016
40-44,BLC,6.0,4.0,E02000870,2016
45-49,BLC,1.0,3.0,E02000870,2016
5-9,BLC,4.0,5.0,E02000870,2016
50-54,BLC,7.0,5.0,E02000870,2016
55-59,BLC,6.0,3.0,E02000870,2016
60-64,BLC,5.0,2.0,E02000870,2016
65-69,BLC,,2.0,E02000870,2016
70-74,BLC,,3.0,E02000870,2016
75-79,BLC,2.0,1.0,E02000870,2016
80-84,BLC,1.0,1.0,E02000870,2016
85+,BLC,2.0,,E02000870,2016
0-4,CHI,8.0,5.0,E02000870,2016
10-14,CHI,3.0,,E02000870,2016
15-19,CHI,,2.0,E02000870,2016
20-24,CHI,2.0,3.0,E02000870,2016
25-29,CHI,11.0,14.0,E02000870,2016
30-34,CHI,10.0,8.0,E02000870,2016
35-39,CHI,6.0,4.0,E02000870,2016
40-44,CHI,2.0,6.0,E02000870,2016
45-49,CHI,1.0,2.0,E02000870,2016
5-9,CHI,1.0,,E02000870,2016
50-54,CHI,2.0,1.0,E02000870,2016
55-59,CHI,2.0,,E02000870,2016
60-64,CHI,1.0,4.0,E02000870,2016
0-4,IND,9.0,9.0,E02000870,2016
