Ethnicity,Age_Range,F,M,Year
BAN,0-4,4514,4710,2012
BAN,10-14,4161,4283,2012
BAN,15-19,3599,3795,2012
BAN,20-24,3857,3936,2012
BAN,25-29,4578,4120,2012
BAN,30-34,4302,4014,2012
BAN,35-39,3189,3680,2012
BAN,40-44,2027,2764,2012
BAN,45-49,1307,1733,2012
BAN,5-9,4670,4729,2012
BAN,50-54,980,1427,2012
BAN,55-59,1014,862,2012
BAN,60-64,785,264,2012
BAN,65-69,524,241,2012
BAN,70-74,623,541,2012
BAN,75-79,377,515,2012
BAN,80-84,178,289,2012
BAN,85+,78,88,2012
BLA,0-4,469,488,2012
BLA,10-14,339,341,2012
BLA,15-19,284,332,2012
BLA,20-24,464,397,2012
BLA,25-29,582,470,2012
BLA,30-34,572,500,2012
BLA,35-39,469,433,2012
BLA,40-44,418,346,2012
BLA,45-49,321,292,2012
BLA,5-9,388,404,2012
BLA,50-54,212,209,2012
BLA,55-59,144,135,2012
BLA,60-64,116,87,2012
BLA,65-69,72,55,2012
BLA,70-74,62,55,2012
BLA,75-79,39,41,2012
BLA,80-84,29,28,2012
BLA,85+,21,22,2012
BLC,0-4,150,163,2012
BLC,10-14,102,118,2012
BLC,15-19,145,132,2012
BLC,20-24,224,196,2012
BLC,25-29,280,226,2012
BLC,30-34,236,201,2012
BLC,35-39,175,166,2012
BLC,40-44,250,227,2012
BLC,45-49,284,248,2012
BLC,5-9,146,120,2012
BLC,50-54,235,206,2012
BLC,55-59,168,144,2012
BLC,60-64,97,79,2012
BLC,65-69,88,53,2012
BLC,70-74,101,99,2012
BLC,75-79,97,79,2012
BLC,80-84,59,50,2012
BLC,85+,40,28,2012
CHI,0-4,196,228,2012
CHI,10-14,49,47,2012
CHI,15-19,104,94,2012
CHI,20-24,842,649,2012
CHI,25-29,1200,1025,2012
CHI,30-34,865,740,2012
CHI,35-39,370,347,2012
CHI,40-44,207,170,2012
CHI,45-49,127,92,2012
CHI,5-9,69,69,2012
CHI,50-54,100,88,2012
CHI,55-59,101,79,2012
CHI,60-64,70,56,2012
CHI,65-69,41,39,2012
CHI,70-74,35,30,2012
CHI,75-79,16,29,2012
CHI,80-84,12,13,2012
CHI,85+,15,12,2012
IND,0-4,260,239,2012
IND,10-14,50,57,2012
IND,15-19,71,63,2012
IND,20-24,389,407,2012
IND,25-29,793,909,2012
IND,30-34,701,961,2012
IND,35-39,326,484,2012
IND,40-44,144,185,2012
IND,45-49,94,101,2012
IND,5-9,98,100,2012
IND,50-54,71,86,2012
IND,55-59,58,61,2012
IND,60-64,33,33,2012
IND,65-69,23,24,2012
IND,70-74,20,28,2012
IND,75-79,18,17,2012
IND,80-84,12,13,2012
IND,85+,7,2,2012
MIX,0-4,821,873,2012
MIX,10-14,368,394,2012
MIX,15-19,333,365,2012
MIX,20-24,687,522,2012
MIX,25-29,861,716,2012
MIX,30-34,577,575,2012
MIX,35-39,302,329,2012
MIX,40-44,221,254,2012
MIX,45-49,155,205,2012
MIX,5-9,611,635,2012
MIX,50-54,121,130,2012
MIX,55-59,85,82,2012
MIX,60-64,55,45,2012
MIX,65-69,28,33,2012
MIX,70-74,30,23,2012
MIX,75-79,22,22,2012
MIX,80-84,16,12,2012
MIX,85+,13,9,2012
OAS,0-4,193,210,2012
OAS,10-14,87,97,2012
OAS,15-19,130,139,2012
OAS,20-24,390,356,2012
OAS,25-29,569,453,2012
OAS,30-34,569,395,2012
OAS,35-39,399,340,2012
OAS,40-44,240,153,2012
OAS,45-49,133,91,2012
OAS,5-9,159,131,2012
OAS,50-54,111,68,2012
OAS,55-59,84,62,2012
OAS,60-64,70,44,2012
OAS,65-69,43,31,2012
OAS,70-74,32,8,2012
OAS,75-79,18,13,2012
OAS,80-84,12,11,2012
OAS,85+,5,8,2012
OBL,0-4,274,292,2012
OBL,10-14,193,191,2012
OBL,15-19,137,148,2012
OBL,20-24,118,147,2012
OBL,25-29,183,126,2012
OBL,30-34,173,130,2012
OBL,35-39,144,122,2012
OBL,40-44,127,137,2012
OBL,45-49,137,129,2012
OBL,5-9,220,253,2012
OBL,50-54,70,82,2012
OBL,55-59,40,40,2012
OBL,60-64,36,21,2012
OBL,65-69,37,18,2012
OBL,70-74,25,17,2012
OBL,75-79,18,18,2012
OBL,80-84,14,12,2012
OBL,85+,13,13,2012
OTH,0-4,202,217,2012
OTH,10-14,103,130,2012
OTH,15-19,121,139,2012
OTH,20-24,293,429,2012
OTH,25-29,388,634,2012
OTH,30-34,378,552,2012
OTH,35-39,249,361,2012
OTH,40-44,147,263,2012
OTH,45-49,107,239,2012
OTH,5-9,167,165,2012
OTH,50-54,88,116,2012
OTH,55-59,64,76,2012
OTH,60-64,43,41,2012
OTH,65-69,22,32,2012
OTH,70-74,30,23,2012
OTH,75-79,15,20,2012
OTH,80-84,12,9,2012
OTH,85+,9,8,2012
PAK,0-4,87,111,2012
PAK,10-14,50,51,2012
PAK,15-19,61,65,2012
PAK,20-24,167,247,2012
PAK,25-29,178,241,2012
PAK,30-34,133,214,2012
PAK,35-39,94,122,2012
PAK,40-44,59,67,2012
PAK,45-49,38,62,2012
PAK,5-9,76,75,2012
PAK,50-54,34,40,2012
PAK,55-59,33,31,2012
PAK,60-64,26,20,2012
PAK,65-69,16,22,2012
PAK,70-74,13,12,2012
PAK,75-79,6,14,2012
PAK,80-84,3,10,2012
PAK,85+,2,6,2012
WBI,0-4,2150,2244,2012
WBI,10-14,912,975,2012
WBI,15-19,1225,1208,2012
WBI,20-24,4617,4225,2012
WBI,25-29,6364,7256,2012
WBI,30-34,4592,6107,2012
WBI,35-39,2708,4125,2012
WBI,40-44,2319,3414,2012
WBI,45-49,2276,2968,2012
WBI,5-9,1124,1098,2012
WBI,50-54,2087,2744,2012
WBI,55-59,1905,2401,2012
WBI,60-64,1657,2004,2012
WBI,65-69,1292,1501,2012
WBI,70-74,1059,990,2012
WBI,75-79,1039,847,2012
WBI,80-84,1058,656,2012
WBI,85+,1103,569,2012
WHO,0-4,741,759,2012
WHO,10-14,164,155,2012
WHO,15-19,258,252,2012
WHO,20-24,1954,1463,2012
WHO,25-29,3919,3818,2012
WHO,30-34,3620,3976,2012
WHO,35-39,2028,2520,2012
WHO,40-44,972,1347,2012
WHO,45-49,539,727,2012
WHO,5-9,264,261,2012
WHO,50-54,359,389,2012
WHO,55-59,281,260,2012
WHO,60-64,214,189,2012
WHO,65-69,125,138,2012
WHO,70-74,71,56,2012
WHO,75-79,70,51,2012
WHO,80-84,47,30,2012
WHO,85+,47,41,2012
BAN,0-4,4699,4802,2013
BAN,10-14,4290,4414,2013
BAN,15-19,3823,3991,2013
BAN,20-24,3516,3599,2013
BAN,25-29,4643,4279,2013
BAN,30-34,4423,4052,2013
BAN,35-39,3441,3755,2013
BAN,40-44,2163,2939,2013
BAN,45-49,1423,1898,2013
BAN,5-9,4598,4698,2013
BAN,50-54,1028,1471,2013
BAN,55-59,997,979,2013
BAN,60-64,855,360,2013
BAN,65-69,537,219,2013
BAN,70-74,598,439,2013
BAN,75-79,427,518,2013
BAN,80-84,207,316,2013
BAN,85+,92,120,2013
BLA,0-4,483,514,2013
BLA,10-14,331,340,2013
BLA,15-19,290,338,2013
BLA,20-24,411,358,2013
BLA,25-29,584,465,2013
BLA,30-34,592,507,2013
BLA,35-39,477,445,2013
BLA,40-44,428,368,2013
BLA,45-49,335,297,2013
BLA,5-9,407,424,2013
BLA,50-54,233,223,2013
BLA,55-59,163,154,2013
BLA,60-64,111,82,2013
BLA,65-69,84,69,2013
BLA,70-74,67,52,2013
BLA,75-79,40,47,2013
BLA,80-84,27,24,2013
BLA,85+,27,29,2013
BLC,0-4,153,175,2013
BLC,10-14,108,116,2013
BLC,15-19,143,128,2013
BLC,20-24,195,178,2013
BLC,25-29,283,239,2013
BLC,30-34,248,200,2013
BLC,35-39,179,175,2013
BLC,40-44,238,198,2013
BLC,45-49,276,255,2013
BLC,5-9,144,121,2013
BLC,50-54,254,210,2013
BLC,55-59,172,151,2013
BLC,60-64,111,98,2013
BLC,65-69,85,58,2013
BLC,70-74,104,71,2013
BLC,75-79,89,89,2013
BLC,80-84,69,59,2013
BLC,85+,46,31,2013
CHI,0-4,244,293,2013
CHI,10-14,52,49,2013
CHI,15-19,71,65,2013
CHI,20-24,632,502,2013
CHI,25-29,1208,1011,2013
CHI,30-34,974,817,2013
CHI,35-39,452,408,2013
CHI,40-44,226,202,2013
CHI,45-49,139,100,2013
CHI,5-9,83,85,2013
CHI,50-54,97,87,2013
CHI,55-59,103,78,2013
CHI,60-64,78,56,2013
CHI,65-69,48,54,2013
CHI,70-74,31,24,2013
CHI,75-79,20,26,2013
CHI,80-84,12,16,2013
CHI,85+,15,12,2013
IND,0-4,316,306,2013
IND,10-14,46,58,2013
IND,15-19,53,41,2013
IND,20-24,318,328,2013
IND,25-29,715,810,2013
IND,30-34,764,991,2013
IND,35-39,397,587,2013
IND,40-44,170,226,2013
IND,45-49,98,117,2013
IND,5-9,128,128,2013
IND,50-54,70,78,2013
IND,55-59,63,67,2013
IND,60-64,38,41,2013
IND,65-69,22,24,2013
IND,70-74,23,28,2013
IND,75-79,16,15,2013
IND,80-84,11,14,2013
IND,85+,9,4,2013
MIX,0-4,725,779,2013
MIX,10-14,387,397,2013
MIX,15-19,324,367,2013
MIX,20-24,578,462,2013
MIX,25-29,869,705,2013
MIX,30-34,656,617,2013
MIX,35-39,355,376,2013
MIX,40-44,233,257,2013
MIX,45-49,159,216,2013
MIX,5-9,688,720,2013
MIX,50-54,124,145,2013
MIX,55-59,96,86,2013
MIX,60-64,53,55,2013
MIX,65-69,32,37,2013
MIX,70-74,30,16,2013
MIX,75-79,24,24,2013
MIX,80-84,17,13,2013
MIX,85+,15,8,2013
OAS,0-4,226,235,2013
OAS,10-14,105,103,2013
OAS,15-19,88,117,2013
OAS,20-24,343,308,2013
OAS,25-29,557,451,2013
OAS,30-34,586,417,2013
OAS,35-39,429,345,2013
OAS,40-44,270,195,2013
OAS,45-49,153,98,2013
OAS,5-9,172,149,2013
OAS,50-54,107,64,2013
OAS,55-59,86,66,2013
OAS,60-64,74,45,2013
OAS,65-69,49,34,2013
OAS,70-74,37,13,2013
OAS,75-79,17,11,2013
OAS,80-84,11,13,2013
OAS,85+,6,8,2013
OBL,0-4,239,246,2013
OBL,10-14,191,208,2013
OBL,15-19,151,157,2013
OBL,20-24,112,149,2013
OBL,25-29,173,128,2013
OBL,30-34,177,129,2013
OBL,35-39,156,132,2013
OBL,40-44,124,122,2013
OBL,45-49,137,131,2013
OBL,5-9,245,256,2013
OBL,50-54,76,101,2013
OBL,55-59,49,46,2013
OBL,60-64,40,22,2013
OBL,65-69,36,17,2013
OBL,70-74,23,18,2013
OBL,75-79,20,12,2013
OBL,80-84,16,15,2013
OBL,85+,15,15,2013
OTH,0-4,203,224,2013
OTH,10-14,106,135,2013
OTH,15-19,103,116,2013
OTH,20-24,265,351,2013
OTH,25-29,374,630,2013
OTH,30-34,389,573,2013
OTH,35-39,282,404,2013
OTH,40-44,156,275,2013
OTH,45-49,113,231,2013
OTH,5-9,183,178,2013
OTH,50-54,90,154,2013
OTH,55-59,68,70,2013
OTH,60-64,52,47,2013
OTH,65-69,19,37,2013
OTH,70-74,28,21,2013
OTH,75-79,19,21,2013
OTH,80-84,13,10,2013
OTH,85+,9,6,2013
PAK,0-4,109,137,2013
PAK,10-14,51,52,2013
PAK,15-19,55,43,2013
PAK,20-24,143,224,2013
PAK,25-29,190,250,2013
PAK,30-34,148,219,2013
PAK,35-39,97,147,2013
PAK,40-44,59,69,2013
PAK,45-49,45,62,2013
PAK,5-9,76,77,2013
PAK,50-54,31,48,2013
PAK,55-59,31,31,2013
PAK,60-64,35,21,2013
PAK,65-69,13,24,2013
PAK,70-74,14,10,2013
PAK,75-79,7,14,2013
PAK,80-84,2,11,2013
PAK,85+,3,7,2013
WBI,0-4,2553,2606,2013
WBI,10-14,913,968,2013
WBI,15-19,964,1049,2013
WBI,20-24,3835,3417,2013
WBI,25-29,6350,6925,2013
WBI,30-34,5115,6547,2013
WBI,35-39,3002,4486,2013
WBI,40-44,2296,3463,2013
WBI,45-49,2272,3046,2013
WBI,5-9,1233,1213,2013
WBI,50-54,2123,2763,2013
WBI,55-59,1926,2430,2013
WBI,60-64,1726,2031,2013
WBI,65-69,1325,1637,2013
WBI,70-74,1091,1007,2013
WBI,75-79,1000,847,2013
WBI,80-84,992,673,2013
WBI,85+,1207,588,2013
WHO,0-4,1127,1111,2013
WHO,10-14,175,163,2013
WHO,15-19,170,183,2013
WHO,20-24,1535,1153,2013
WHO,25-29,3661,3391,2013
WHO,30-34,3845,4111,2013
WHO,35-39,2319,2831,2013
WHO,40-44,1101,1503,2013
WHO,45-49,595,828,2013
WHO,5-9,311,328,2013
WHO,50-54,387,452,2013
WHO,55-59,306,268,2013
WHO,60-64,220,193,2013
WHO,65-69,142,152,2013
WHO,70-74,72,65,2013
WHO,75-79,70,49,2013
WHO,80-84,46,33,2013
WHO,85+,54,39,2013
BAN,0-4,4783,4918,2014
BAN,10-14,4453,4535,2014
BAN,15-19,3904,4043,2014
BAN,20-24,3412,3605,2014
BAN,25-29,4533,4286,2014
BAN,30-34,4536,4038,2014
BAN,35-39,3621,3834,2014
BAN,40-44,2391,3087,2014
BAN,45-49,1548,2122,2014
BAN,5-9,4581,4671,2014
BAN,50-54,1074,1494,2014
BAN,55-59,990,1120,2014
BAN,60-64,905,466,2014
BAN,65-69,586,199,2014
BAN,70-74,566,363,2014
BAN,75-79,466,528,2014
BAN,80-84,230,327,2014
BAN,85+,104,145,2014
BLA,0-4,477,527,2014
BLA,10-14,345,362,2014
BLA,15-19,300,337,2014
BLA,20-24,380,340,2014
BLA,25-29,550,467,2014
BLA,30-34,604,488,2014
BLA,35-39,503,457,2014
BLA,40-44,420,389,2014
BLA,45-49,363,314,2014
BLA,5-9,428,434,2014
BLA,50-54,260,234,2014
BLA,55-59,177,165,2014
BLA,60-64,114,87,2014
BLA,65-69,89,76,2014
BLA,70-74,63,49,2014
BLA,75-79,46,50,2014
BLA,80-84,29,26,2014
BLA,85+,30,28,2014
BLC,0-4,155,172,2014
BLC,10-14,117,112,2014
BLC,15-19,126,123,2014
BLC,20-24,181,170,2014
BLC,25-29,280,231,2014
BLC,30-34,263,207,2014
BLC,35-39,189,180,2014
BLC,40-44,206,188,2014
BLC,45-49,273,241,2014
BLC,5-9,138,133,2014
BLC,50-54,273,220,2014
BLC,55-59,180,165,2014
BLC,60-64,131,116,2014
BLC,65-69,82,55,2014
BLC,70-74,102,69,2014
BLC,75-79,89,82,2014
BLC,80-84,69,58,2014
BLC,85+,51,38,2014
CHI,0-4,294,331,2014
CHI,10-14,52,51,2014
CHI,15-19,70,64,2014
CHI,20-24,446,360,2014
CHI,25-29,1147,941,2014
CHI,30-34,1089,900,2014
CHI,35-39,532,496,2014
CHI,40-44,247,230,2014
CHI,45-49,151,108,2014
CHI,5-9,105,117,2014
CHI,50-54,106,83,2014
CHI,55-59,104,79,2014
CHI,60-64,84,62,2014
CHI,65-69,48,53,2014
CHI,70-74,31,27,2014
CHI,75-79,23,24,2014
CHI,80-84,16,17,2014
CHI,85+,13,11,2014
IND,0-4,356,345,2014
IND,10-14,53,61,2014
IND,15-19,55,44,2014
IND,20-24,238,245,2014
IND,25-29,622,709,2014
IND,30-34,814,991,2014
IND,35-39,476,699,2014
IND,40-44,190,269,2014
IND,45-49,109,124,2014
IND,5-9,156,155,2014
IND,50-54,79,83,2014
IND,55-59,66,74,2014
IND,60-64,40,48,2014
IND,65-69,25,23,2014
IND,70-74,22,20,2014
IND,75-79,12,23,2014
IND,80-84,13,13,2014
IND,85+,11,5,2014
MIX,0-4,623,659,2014
MIX,10-14,431,433,2014
MIX,15-19,344,373,2014
MIX,20-24,468,441,2014
MIX,25-29,882,664,2014
MIX,30-34,710,642,2014
MIX,35-39,398,436,2014
MIX,40-44,241,271,2014
MIX,45-49,172,219,2014
MIX,5-9,750,774,2014
MIX,50-54,133,161,2014
MIX,55-59,98,101,2014
MIX,60-64,65,55,2014
MIX,65-69,32,40,2014
MIX,70-74,32,15,2014
MIX,75-79,20,22,2014
MIX,80-84,22,14,2014
MIX,85+,15,9,2014
OAS,0-4,279,283,2014
OAS,10-14,114,109,2014
OAS,15-19,95,109,2014
OAS,20-24,273,248,2014
OAS,25-29,529,444,2014
OAS,30-34,592,445,2014
OAS,35-39,476,337,2014
OAS,40-44,284,240,2014
OAS,45-49,181,106,2014
OAS,5-9,170,153,2014
OAS,50-54,108,70,2014
OAS,55-59,92,66,2014
OAS,60-64,75,50,2014
OAS,65-69,53,34,2014
OAS,70-74,39,16,2014
OAS,75-79,18,8,2014
OAS,80-84,11,15,2014
OAS,85+,7,8,2014
OBL,0-4,207,197,2014
OBL,10-14,200,220,2014
OBL,15-19,161,172,2014
OBL,20-24,120,139,2014
OBL,25-29,159,139,2014
OBL,30-34,184,133,2014
OBL,35-39,159,128,2014
OBL,40-44,129,122,2014
OBL,45-49,129,131,2014
OBL,5-9,242,264,2014
OBL,50-54,92,109,2014
OBL,55-59,57,56,2014
OBL,60-64,38,25,2014
OBL,65-69,35,14,2014
OBL,70-74,25,20,2014
OBL,75-79,20,10,2014
OBL,80-84,19,15,2014
OBL,85+,17,17,2014
OTH,0-4,217,237,2014
OTH,10-14,116,138,2014
OTH,15-19,111,126,2014
OTH,20-24,217,275,2014
OTH,25-29,367,590,2014
OTH,30-34,396,601,2014
OTH,35-39,298,446,2014
OTH,40-44,175,289,2014
OTH,45-49,123,237,2014
OTH,5-9,185,175,2014
OTH,50-54,88,176,2014
OTH,55-59,78,74,2014
OTH,60-64,52,59,2014
OTH,65-69,23,34,2014
OTH,70-74,25,24,2014
OTH,75-79,25,22,2014
OTH,80-84,9,9,2014
OTH,85+,12,5,2014
PAK,0-4,114,156,2014
PAK,10-14,58,60,2014
PAK,15-19,53,39,2014
PAK,20-24,125,175,2014
PAK,25-29,178,256,2014
PAK,30-34,167,237,2014
PAK,35-39,102,152,2014
PAK,40-44,65,89,2014
PAK,45-49,48,62,2014
PAK,5-9,80,82,2014
PAK,50-54,32,52,2014
PAK,55-59,33,30,2014
PAK,60-64,31,22,2014
PAK,65-69,20,23,2014
PAK,70-74,14,15,2014
PAK,75-79,9,12,2014
PAK,80-84,2,12,2014
PAK,85+,3,7,2014
WBI,0-4,2911,2926,2014
WBI,10-14,949,986,2014
WBI,15-19,960,1017,2014
WBI,20-24,2997,2675,2014
WBI,25-29,6083,6349,2014
WBI,30-34,5621,6980,2014
WBI,35-39,3284,4824,2014
WBI,40-44,2313,3558,2014
WBI,45-49,2266,3107,2014
WBI,5-9,1330,1307,2014
WBI,50-54,2181,2805,2014
WBI,55-59,1972,2505,2014
WBI,60-64,1730,2023,2014
WBI,65-69,1408,1771,2014
WBI,70-74,1114,1047,2014
WBI,75-79,958,827,2014
WBI,80-84,963,673,2014
WBI,85+,1284,619,2014
WHO,0-4,1458,1456,2014
WHO,10-14,195,168,2014
WHO,15-19,154,184,2014
WHO,20-24,1123,832,2014
WHO,25-29,3248,2897,2014
WHO,30-34,4058,4208,2014
WHO,35-39,2629,3132,2014
WHO,40-44,1274,1728,2014
WHO,45-49,689,909,2014
WHO,5-9,354,395,2014
WHO,50-54,411,515,2014
WHO,55-59,303,293,2014
WHO,60-64,234,188,2014
WHO,65-69,152,168,2014
WHO,70-74,81,78,2014
WHO,75-79,69,52,2014
WHO,80-84,54,32,2014
WHO,85+,57,37,2014
BAN,0-4,4908,4992,2015
BAN,10-14,4573,4666,2015
BAN,15-19,3998,4130,2015
BAN,20-24,3419,3617,2015
BAN,25-29,4338,4238,2015
BAN,30-34,4547,3967,2015
BAN,35-39,3818,3856,2015
BAN,40-44,2706,3354,2015
BAN,45-49,1674,2333,2015
BAN,5-9,4567,4721,2015
BAN,50-54,1130,1511,2015
BAN,55-59,973,1235,2015
BAN,60-64,940,582,2015
BAN,65-69,643,175,2015
BAN,70-74,502,301,2015
BAN,75-79,528,518,2015
BAN,80-84,255,346,2015
BAN,85+,120,172,2015
BLA,0-4,474,520,2015
BLA,10-14,359,383,2015
BLA,15-19,299,326,2015
BLA,20-24,346,341,2015
BLA,25-29,524,434,2015
BLA,30-34,610,494,2015
BLA,35-39,507,462,2015
BLA,40-44,447,402,2015
BLA,45-49,381,338,2015
BLA,5-9,459,453,2015
BLA,50-54,278,239,2015
BLA,55-59,185,183,2015
BLA,60-64,127,98,2015
BLA,65-69,94,77,2015
BLA,70-74,66,47,2015
BLA,75-79,50,48,2015
BLA,80-84,28,23,2015
BLA,85+,33,33,2015
BLC,0-4,156,170,2015
BLC,10-14,136,119,2015
BLC,15-19,104,114,2015
BLC,20-24,176,160,2015
BLC,25-29,268,225,2015
BLC,30-34,256,202,2015
BLC,35-39,215,182,2015
BLC,40-44,192,189,2015
BLC,45-49,261,233,2015
BLC,5-9,130,140,2015
BLC,50-54,281,240,2015
BLC,55-59,201,166,2015
BLC,60-64,135,129,2015
BLC,65-69,87,56,2015
BLC,70-74,95,57,2015
BLC,75-79,87,79,2015
BLC,80-84,77,59,2015
BLC,85+,61,44,2015
CHI,0-4,339,367,2015
CHI,10-14,52,52,2015
CHI,15-19,57,48,2015
CHI,20-24,307,244,2015
CHI,25-29,1069,890,2015
CHI,30-34,1166,950,2015
CHI,35-39,626,564,2015
CHI,40-44,287,273,2015
CHI,45-49,159,120,2015
CHI,5-9,121,144,2015
CHI,50-54,111,80,2015
CHI,55-59,94,80,2015
CHI,60-64,90,72,2015
CHI,65-69,58,50,2015
CHI,70-74,30,28,2015
CHI,75-79,29,21,2015
CHI,80-84,14,16,2015
CHI,85+,15,15,2015
IND,0-4,412,396,2015
IND,10-14,60,70,2015
IND,15-19,54,44,2015
IND,20-24,169,181,2015
IND,25-29,520,584,2015
IND,30-34,845,988,2015
IND,35-39,568,819,2015
IND,40-44,216,317,2015
IND,45-49,124,139,2015
IND,5-9,183,173,2015
IND,50-54,82,83,2015
IND,55-59,70,81,2015
IND,60-64,44,50,2015
IND,65-69,24,27,2015
IND,70-74,26,17,2015
IND,75-79,10,20,2015
IND,80-84,14,13,2015
IND,85+,11,6,2015
MIX,0-4,512,515,2015
MIX,10-14,487,459,2015
MIX,15-19,346,369,2015
MIX,20-24,391,428,2015
MIX,25-29,857,618,2015
MIX,30-34,755,677,2015
MIX,35-39,449,488,2015
MIX,40-44,266,286,2015
MIX,45-49,190,222,2015
MIX,5-9,827,877,2015
MIX,50-54,123,178,2015
MIX,55-59,118,110,2015
MIX,60-64,69,59,2015
MIX,65-69,36,37,2015
MIX,70-74,26,19,2015
MIX,75-79,24,19,2015
MIX,80-84,19,15,2015
MIX,85+,20,8,2015
OAS,0-4,320,315,2015
OAS,10-14,121,109,2015
OAS,15-19,96,111,2015
OAS,20-24,224,192,2015
OAS,25-29,477,444,2015
OAS,30-34,591,430,2015
OAS,35-39,514,369,2015
OAS,40-44,317,267,2015
OAS,45-49,199,120,2015
OAS,5-9,179,173,2015
OAS,50-54,122,75,2015
OAS,55-59,90,70,2015
OAS,60-64,80,51,2015
OAS,65-69,53,32,2015
OAS,70-74,41,20,2015
OAS,75-79,23,5,2015
OAS,80-84,7,13,2015
OAS,85+,8,8,2015
OBL,0-4,155,155,2015
OBL,10-14,204,228,2015
OBL,15-19,168,178,2015
OBL,20-24,122,137,2015
OBL,25-29,138,147,2015
OBL,30-34,192,119,2015
OBL,35-39,167,131,2015
OBL,40-44,134,119,2015
OBL,45-49,119,139,2015
OBL,5-9,269,289,2015
OBL,50-54,113,116,2015
OBL,55-59,61,63,2015
OBL,60-64,35,27,2015
OBL,65-69,38,16,2015
OBL,70-74,29,17,2015
OBL,75-79,20,14,2015
OBL,80-84,20,13,2015
OBL,85+,17,16,2015
OTH,0-4,238,241,2015
OTH,10-14,132,144,2015
OTH,15-19,104,127,2015
OTH,20-24,191,222,2015
OTH,25-29,339,552,2015
OTH,30-34,393,614,2015
OTH,35-39,326,475,2015
OTH,40-44,201,307,2015
OTH,45-49,138,240,2015
OTH,5-9,181,184,2015
OTH,50-54,79,200,2015
OTH,55-59,83,85,2015
OTH,60-64,57,63,2015
OTH,65-69,29,36,2015
OTH,70-74,25,24,2015
OTH,75-79,24,21,2015
OTH,80-84,7,10,2015
OTH,85+,14,4,2015
PAK,0-4,127,170,2015
PAK,10-14,68,73,2015
PAK,15-19,49,39,2015
PAK,20-24,105,135,2015
PAK,25-29,180,265,2015
PAK,30-34,171,231,2015
PAK,35-39,106,176,2015
PAK,40-44,75,100,2015
PAK,45-49,54,62,2015
PAK,5-9,83,85,2015
PAK,50-54,26,55,2015
PAK,55-59,38,26,2015
PAK,60-64,33,25,2015
PAK,65-69,22,20,2015
PAK,70-74,13,14,2015
PAK,75-79,10,16,2015
PAK,80-84,4,10,2015
PAK,85+,3,7,2015
WBI,0-4,3242,3217,2015
WBI,10-14,959,980,2015
WBI,15-19,942,1011,2015
WBI,20-24,2285,2046,2015
WBI,25-29,5713,5718,2015
WBI,30-34,6022,7211,2015
WBI,35-39,3584,5210,2015
WBI,40-44,2429,3703,2015
WBI,45-49,2226,3157,2015
WBI,5-9,1459,1482,2015
WBI,50-54,2224,2837,2015
WBI,55-59,2024,2586,2015
WBI,60-64,1749,2120,2015
WBI,65-69,1482,1822,2015
WBI,70-74,1125,1106,2015
WBI,75-79,944,816,2015
WBI,80-84,923,662,2015
WBI,85+,1360,645,2015
WHO,0-4,1819,1780,2015
WHO,10-14,195,193,2015
WHO,15-19,162,180,2015
WHO,20-24,760,542,2015
WHO,25-29,2779,2395,2015
WHO,30-34,4189,4187,2015
WHO,35-39,2940,3463,2015
WHO,40-44,1520,1976,2015
WHO,45-49,754,1052,2015
WHO,5-9,409,460,2015
WHO,50-54,441,548,2015
WHO,55-59,308,310,2015
WHO,60-64,251,212,2015
WHO,65-69,176,172,2015
WHO,70-74,88,80,2015
WHO,75-79,69,55,2015
WHO,80-84,59,37,2015
WHO,85+,58,33,2015
BAN,0-4,4975,4981,2016
BAN,10-14,4729,4792,2016
BAN,15-19,4040,4186,2016
BAN,20-24,3569,3779,2016
BAN,25-29,4069,4161,2016
BAN,30-34,4454,3800,2016
BAN,35-39,4127,4006,2016
BAN,40-44,2990,3518,2016
BAN,45-49,1825,2613,2016
BAN,5-9,4532,4716,2016
BAN,50-54,1174,1537,2016
BAN,55-59,955,1344,2016
BAN,60-64,996,699,2016
BAN,65-69,689,156,2016
BAN,70-74,467,227,2016
BAN,75-79,569,518,2016
BAN,80-84,277,348,2016
BAN,85+,137,204,2016
BLA,0-4,486,505,2016
BLA,10-14,368,391,2016
BLA,15-19,320,329,2016
BLA,20-24,319,350,2016
BLA,25-29,491,416,2016
BLA,30-34,581,459,2016
BLA,35-39,551,494,2016
BLA,40-44,439,411,2016
BLA,45-49,427,345,2016
BLA,5-9,475,474,2016
BLA,50-54,287,263,2016
BLA,55-59,195,188,2016
BLA,60-64,129,109,2016
BLA,65-69,102,85,2016
BLA,70-74,74,32,2016
BLA,75-79,52,57,2016
BLA,80-84,36,27,2016
BLA,85+,33,32,2016
BLC,0-4,158,176,2016
BLC,10-14,147,113,2016
BLC,15-19,101,109,2016
BLC,20-24,159,149,2016
BLC,25-29,252,224,2016
BLC,30-34,272,206,2016
BLC,35-39,213,183,2016
BLC,40-44,176,177,2016
BLC,45-49,250,225,2016
BLC,5-9,128,145,2016
BLC,50-54,300,257,2016
BLC,55-59,216,181,2016
BLC,60-64,149,135,2016
BLC,65-69,82,61,2016
BLC,70-74,90,48,2016
BLC,75-79,87,78,2016
BLC,80-84,76,60,2016
BLC,85+,72,46,2016
CHI,0-4,373,401,2016
CHI,10-14,54,51,2016
CHI,15-19,53,47,2016
